Rank,Portuguese,English
1580,meninos,boys
1581,futebol,football
1582,responder,reply
1583,desculpas,apologies
1584,braços,arms
1585,deixes,leave
1586,agradável,nice
1587,porreiro,plain
1588,manda,he sends
1589,j,J
1590,ligação,Link
1591,tchau,Goodbye
1592,oeste,West
1593,venho,I come
1594,alô,Hello
1595,ó,O
1596,pago,paid out
1597,nervoso,nervous
1598,don,don
1599,táxi,taxi
1600,vindos,coming
1601,sociedade,society
1602,calor,heat
1603,falas,speech
1604,jerry,jerry
1605,confiança,trust
1606,major,major
1607,noiva,fiancee
1608,relógio,clock
1609,casas,houses
1610,edifício,building
1611,casado,married
1612,parque,park
1613,nacional,national
1614,ridículo,ridiculous
1615,fotografia,photography
1616,washington,Washington
1617,espada,sword
1618,felizes,happy
1619,partido,broken
1620,pequenos,small
1621,tire,take it off
1622,humana,human
1623,valor,value
1624,levantar,rise
1625,aula,classroom
1626,tido,had
1627,meter,meter
1628,caramba,damn it
1629,gay,gay
1630,morre,dies
1631,autocarro,bus
1632,inglaterra,England
1633,diante,against
1634,central,central
1635,iremos,we'll
1636,cadeira,chair
1637,chapéu,hat
1638,idiotas,idiots
1639,pontos,spots
1640,serem,have
1641,deviam,should
1642,trato,tract
1643,robert,Robert
1644,faca,do
1645,ligou,call
1646,andando,walking
1647,vás,vault
1648,acorda,wake up
1649,investigação,investigation
1650,ponha,put
1651,calhar,calham
1652,processo,process
1653,imenso,immense
1654,and,and
1655,apareceu,he appeared
1656,sentado,seated
1657,escuro,dark
1658,uau,Wow
1659,posto,put
1660,comecei,started
1661,aulas,classes
1662,inteira,entire
1663,dados,Dice
1664,acabado,finished
1665,corte,cut
1666,baixa,low
1667,treinador,coach
1668,limpo,clean
1669,voo,flight
1670,várias,various
1671,combate,combat
1672,lee,lee
1673,jane,Jane
1674,conduzir,lead
1675,gritar,shout out
1676,deixem,leave
1677,atirar,shoot
1678,york,york
1679,interior,interior
1680,dave,dave
1681,ficamos,we stay
1682,andas,andas
1683,portas,doors
1684,carreira,career
1685,matt,matt
1686,perdemos,we lost
1687,descansar,rest
1688,leite,milk
1689,bordo,board
1690,simpático,kind
1691,chuva,rain
1692,walter,walter
1693,fumar,smoke
1694,faremos,we will
1695,visão,vision
1696,ouvido,ear
1697,ruas,streets
1698,policia,police
1699,pensou,he thought
1700,política,policy
1701,universo,universe
1702,mark,Mark
1703,tantas,so many
1704,líder,leader
1705,mapa,map
1706,conseguia,he could
1707,normalmente,normally
1708,dono,owner
1709,gozar,enjoy
1710,mercado,Marketplace
1711,uso,use
1712,salvo,saved
1713,dedos,fingers
1714,huh,huh
1715,infelizmente,Unfortunately
1716,jogos,games
1717,troca,exchange
1718,inocente,innocent
1719,militar,military
1720,roma,pomegranate
1721,via,via
1722,aspecto,aspect
1723,escapar,escape
1724,entendi,I understood
1725,bebê,drink
1726,km,km
1727,vieste,viaste
1728,conseguiste,managed
1729,série,series
1730,apoio,support
1731,matei,killed
1732,clientes,customers
1733,orgulho,pride
1734,éramos,we were
1735,verificar,check
1736,conseguem,can
1737,vêem,come
1738,vemos,we see
1739,números,numbers
1740,julgamento,judgment
1741,terem,have
1742,depende,It depends
1743,respirar,breathe
1744,teoria,theory
1745,larga,wide
1746,laboratório,laboratory
1747,larry,larry
1748,correcto,correct
1749,mo,mo
1750,rapidamente,quickly
1751,mudança,change
1752,faculdade,college
1753,pedaço,chunk
1754,show,show
1755,rosa,rose
1756,maiores,larger
1757,sacana,bastard
1758,tiveram,had
1759,natural,Natural
1760,preocupar,worry
1761,anel,ring
1762,patrão,boss
1763,vítima,victim
1764,encontramos,we find
1765,grávida,pregnant
1766,entanto,however
1767,bebe,baby
1768,confusão,confusion
1769,terceiro,third
1770,andy,Andy
1771,busca,search
1772,lago,lake
1773,possamos,we can
1774,procurando,searching
1775,escrito,written
1776,frança,France
1777,vários,many
1778,pude,pose
1779,corpos,bodies
1780,escreveu,he wrote
1781,montanha,Mountain
1782,aeroporto,airport
1783,estúpida,stupid
1784,mata,Woods
1785,andado,walked
1786,chris,Chris
1787,miúdas,pivot
1788,passe,pass
1789,sobreviver,survive
1790,bala,bullet
1791,prestes,fess
1792,dever,to owe
1793,excepto,except
1794,pressa,hurry
1795,suspeito,suspect
1796,marca,brand
1797,poucos,few
1798,brian,Brian
1799,director,director
1800,acreditas,believe
1801,controlar,to control
1802,antigo,old one
1803,interesse,interest
1804,mexer,to mix
1805,unidade,unity
1806,chame,call
1807,material,material
1808,perfeita,perfect
1809,construir,ramp up
1810,notícia,news
1811,telemóvel,mobile phone
1812,correu,ran
1813,apresentar,to present
1814,ouçam,list
1815,kate,kate
1816,carrinha,Van
1817,más,but
1818,acordar,wake up
1819,floresta,Forest
1820,ando,walk
1821,costa,coast
1822,amar,love
1823,geral,general
1824,dedo,finger
1825,sentimentos,feelings
1826,parceiro,partner
1827,bolsa,handbag
1828,profissional,professional
1829,merdas,shit
1830,morreram,die
1831,encontrado,found
1832,feita,done
1833,doença,disease
1834,mostra,show
1835,martin,martin
1836,crescer,to grow
1837,imbecil,asshole
1838,ferido,injured
1839,leste,East
1840,regressar,return
1841,queiras,queer
1842,neve,snow
1843,peso,Weight
1844,baile,prom
1845,sentar,to sit
1846,mundial,worldwide
1847,médicos,medical
1848,dão,give
1849,judeus,Jews
1850,contou,said
1851,campeão,champion
1852,ovos,eggs
1853,importo,import
1854,servir,serve
1855,óptima,optimal
1856,garrafa,bottle
1857,momentos,moments
1858,vídeo,video
1859,deseja,want
1860,agentes,agents
1861,imprensa,press
1862,kevin,Kevin
1863,aberta,open
1864,quão,how
1865,recebi,I received
1866,ganhou,has won
1867,mano,Bro
1868,maravilhosa,Wonderful
1869,atacar,attack
1870,desistir,to give up
1871,aldeia,village
1872,parecido,like
1873,entregar,deliver
1874,disser,say
1875,rock,rock
1876,partida,match
1877,acesso,access
1878,tantos,many
1879,decidir,decide
1880,homicídio,murder
1881,entendes,understand
1882,chamam,call
1883,will,Will
1884,instante,instant
1885,vivos,alive
1886,madame,ma'am
1887,soubesse,knew
1888,deixado,left
1889,obviamente,obviously
1890,chegaram,They arrived
1891,viemos,we came
1892,culpado,guilty
1893,resultado,result
1894,direitos,rights
1895,desaparece,fades away
1896,jardim,garden
1897,deserto,desert
1898,nâo,not
1899,ficaria,stay
1900,ruim,bad
1901,paga,pay
1902,n,n
1903,próprios,own
1904,lixar,sand
1905,interessado,interested
1906,ouvidos,ear
1907,fantasma,ghost
1908,angeles,angeles
1909,estudar,studying
1910,domingo,Sunday
1911,entrem,come in
1912,oferta,offer
1913,notas,grades
1914,contrato,contract
1915,encontraram,found
1916,brincadeira,Just kidding
1917,sábado,Saturday
1918,san,san
1919,tempestade,storm
1920,bolo,cake
1921,lar,home
1922,gabinete,cabinet
1923,colega,co-worker
1924,companheiro,partner
1925,demorar,to take time
1926,gás,gas
1927,agradecer,to thank
1928,thomas,Thomas
1929,data,date
1930,tendo,having
1931,fizer,do
1932,bêbado,drunk
1933,estaremos,will be
1934,acredite,believe it
1935,enviar,submit
1936,bilhete,ticket
1937,pessoalmente,personally
1938,reino,Kingdom
1939,propriedade,property
1940,ministro,minister
1941,entendeu,he understood
1942,aparece,pops up
1943,receio,fear
1944,visitar,visit
1945,crer,believe
1946,daqueles,those
1947,francês,French
1948,viajar,travel
1949,recuperar,to recover
1950,responsabilidade,responsibility
1951,voltas,turn
1952,mel,honey
1953,carl,carl
1954,alemães,Germans
1955,garotas,girl
1956,pro,pro
1957,testemunha,witness
1958,equipe,team
1959,simon,simon
1960,queriam,wanted
1961,pão,bread
1962,pequenas,small
1963,califórnia,California
1964,senhorita,miss
1965,conhecimento,knowledge
1966,primo,cousin
1967,cala,cala
1968,new,new
1969,europa,Europe
1970,méxico,Mexico
1971,peito,chest
1972,fugiu,ran away
1973,sensação,sensation
1974,william,William
1975,poderoso,powerful
1976,podiam,could
1977,centenas,hundreds
1978,inimigos,enemies
1979,hein,huh
1980,ganha,won
1981,mantém,keeps
1982,farto,tired
1983,magia,Magic
1984,malta,Malta
1985,anna,anna
1986,agradeço,appreciate
1987,aberto,open
1988,vitória,victory
1989,achou,he thought
1990,voltem,come back
1991,partes,parts
1992,assassinato,murder
1993,massa,pasta
1994,fecha,closet
1995,bravo,angry
1996,ligue,call
1997,ligado,switched on
1998,boleia,bitch
1999,vinha,came
2000,efeito,It is made
